"id","nom","prefecture_id"
"1","Amoutivé","35"
"2","Bè","35"
"3","Baguida","35"
"4","Aflao – Gakli","35"
"5","Aflao – Sagbado","35"
"6","Adétikopé","32"
"7","Agoè – Nyivé","32"
"8","Sanguéra","32"
"9","Togblékopé","32"
"10","Légbassito","32"
"11","Vakpossito","32"
"12","Aného (LAWSON)","36"
"13","Aného (ADJIGO)","36"
"14","Agbodrafo","36"
"15","Glidji","36"
"16","Aklakou","36"
"17","Anfoin","36"
"18","Fiata","36"
"19","Agouègan","36"
"20","Ganavé","36"
"21","Afagnagan","34"
"22","Agomé – Glouzou","34"
"23","Attitogon","34"
"24","Afagnan – Gbléta","34"
"25","Hompou","34"
"26","Agbétiko","34"
"27","Kpétsou","34"
"28","Vogan","37"
"29","Togoville","37"
"30","Anyronkopé","37"
"31","Akoumapé","37"
"32","Vo – Koutimé","37"
"33","Dzrékpo","37"
"34","Dagbati","37"
"35","Sévagan","37"
"36","Momé – Hounkpati","37"
"37","Hahotoé","37"
"38","Tabligbo","38"
"39","Kouvé","38"
"40","Gboto","38"
"41","Ahépé","38"
"42","Tokpli","38"
"43","Tokpli","38"
"44","Sédomé","38"
"45","Zafi","38"
"46","Kini – Kondji","38"
"47","Amoussimé","38"
"48","Essè – Godjin","38"
"49","Tométy – Kondji","38"
"50","Tsévié","39"
"51","Davié","39"
"52","Gblainvié","39"
"53","Dalavé","39"
"54","Kpomé","39"
"55","Gbatopé","39"
"56","Gapé – Centre","39"
"57","Bolou","39"
"58","Agbélouvé","39"
"59","Mission – Tové","39"
"60","Wli","39"
"61","Abobo","39"
"62","Kovié","39"
"63","Gamé – Sèva","39"
"64","Gapé – Kpodji","39"
"65","Djagblé","39"
"66","Kévé","33"
"67","Assahoun","33"
"68","Badja","33"
"69","Aképé","33"
"70","Zolo","33"
"71","Noépé","33"
"72","Tovégan","33"
"73","Ando","33"
"74","Edji","33"
"75","Gnagna","30"
"76","Djama","30"
"77","Woudou","30"
"78","Katoré","30"
"79","Gléï","30"
"80","Ountivou","30"
"81","Akparé","30"
"82","Datcha","30"
"83","Anié","23"
