"id","nom","chef_lieu","latitude","longitude","region_id"
"1","Cinkassé","Cinkassé",NULL,NULL,"1"
"2","Kpendjal","Mandouri",NULL,NULL,"1"
"3","Kpendjal-Ouest","Naki-Est",NULL,NULL,"1"
"4","Oti","Mango",NULL,NULL,"1"
"5","Oti-Sud","Gando",NULL,NULL,"1"
"6","Tandjouaré","Tandjouaré",NULL,NULL,"1"
"7","Tône","Dapaong",NULL,NULL,"1"
"8","Assoli","Bafilo",NULL,NULL,"2"
"9","Bassar","Bassar",NULL,NULL,"2"
"10","Binah","Pagouda",NULL,NULL,"2"
"11","Dankpen","Gérin-kouka",NULL,NULL,"2"
"12","Doufelgou","Niamtougou",NULL,NULL,"2"
"13","Kéran","Kanté",NULL,NULL,"2"
"14","Kozah","Kara",NULL,NULL,"2"
"15","Blitta","Blitta",NULL,NULL,"3"
"16","Sotouboua","Sotouboua",NULL,NULL,"3"
"17","Tchamba","Tchamba",NULL,NULL,"3"
"18","Tchaoudjo","Sokodé",NULL,NULL,"3"
"19","Mô","Djarkpanga",NULL,NULL,"3"
"20","Agou","Agou-Gadzépé",NULL,NULL,"4"
"21","Akébou","Kougnohou",NULL,NULL,"4"
"22","Amou","Amlamé",NULL,NULL,"4"
"23","Anié","Anié",NULL,NULL,"4"
"24","Danyi","Danyi-Apéyémé",NULL,NULL,"4"
"25","Est-Mono","Elavagnon",NULL,NULL,"4"
"26","Haho","Notsè",NULL,NULL,"4"
"27","Kloto","Kpalimé",NULL,NULL,"4"
"28","Kpélé","Adéta",NULL,NULL,"4"
"29","Moyen-Mono","Tohoun",NULL,NULL,"4"
"30","Ogou","Atakpamé",NULL,NULL,"4"
"31","Wawa","Badou",NULL,NULL,"4"
"32","Agouè-Nyivé","Agouè-Nyivé",NULL,NULL,"5"
"33","Avé","Kévé",NULL,NULL,"5"
"34","Bas-Mono","Afagnan",NULL,NULL,"5"
"35","Golfe","Lomé",NULL,NULL,"5"
"36","Lacs","Aného",NULL,NULL,"5"
"37","Vo","Vogan",NULL,NULL,"5"
"38","Yoto","Tabligbo",NULL,NULL,"5"
"39","Zio","Tsévié",NULL,NULL,"5"
